"path","category","current_role","proposed_role","action","notes"
"src/analysis/extend_mb_ns_grid_by_policy.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/guard_mb_paper_ready_export.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/load_mb_stage05_semantic_inputs.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/merge_mb_phasecurve_tables.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_baseline_h1000_expansion_study.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_dense_gap_heatmap_heading_minus_nominal.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_dense_passratio_phasecurve.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_dense_requirement_heatmap_hi.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_dense_requirement_heatmap_iP.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_family_gap_heatmap.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_feasible_domain_map.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_fixed_h_frontier_vs_i.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_fixed_h_passratio_phasecurve.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_fixed_h_passratio_profile_stage05replica.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_fixed_h_requirement_heatmap_iP.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_frontier_vs_i.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_minimum_design_map.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_passratio_by_contract.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_passratio_phasecurve_by_i.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_phasecurve_by_family.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_requirement_heatmap_hi.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_requirement_heatmap_iP.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_resource_performance_cloud.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_stage05_semantic_DG_envelope.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_stage05_semantic_frontier_summary.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_stage05_semantic_pareto_frontier.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_stage05_semantic_passratio_envelope.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_mb_task_family_comparison.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/plot_milestone_B_task_slice_compare.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/propose_mb_search_expansion_candidates.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/propose_next_mb_search_domain.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/rebuild_mb_passratio_dense_view_table.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/rebuild_mb_passratio_global_replay_table.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/rebuild_mb_requirement_surface_for_heatmap.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/refine_mb_frontier_local_neighborhood.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/resolve_mb_export_plot_plan.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/resolve_mb_passratio_plot_windows.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/resolve_mb_plot_data_policy.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/resolve_mb_plot_mode_profile.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/resolve_mb_plot_view_contract.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/run_mb_stage05_strict_replica.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/score_mb_passratio_plot_window.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/should_expand_mb_search_domain.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/should_expand_mb_search_profile.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/update_mb_search_profile_iteratively.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/analysis/write_mb_plot_domain_sidecar.m","code","legacy_mb_analysis_helper","legacy","index-only","Analysis helper appears MB-only by naming and usage; keep as legacy support surface and exclude from MB_v2 feature growth."
"src/mb/closedd","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"src/mb/compare","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"src/mb/finalize_mb_output_metadata.m","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"src/mb/legacydg","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"src/mb/partition_mb_design_tasks.m","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"src/mb/resolve_mb_parallel_plan.m","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"src/mb/resolve_mb_parallel_policy.m","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"src/mb/run_mb_design_partition_parallel.m","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"src/mb/run_mb_task_bundle_parallel.m","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"src/mb/vgeom","code","legacy_mb_source_module","legacy","index-only","Treat as frozen MB implementation surface; MB_v2 should not add new features here."
"README.md","doc","mb_project_doc","active","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"CACHE_POLICY_final_repair_round.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"CACHE_POLICY_final_round.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"CACHE_POLICY_round5.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"MB_CACHE_POLICY.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"MB_FINAL_FREEZE_NOTES.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"MB_SEARCH_POLICY.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"MB_VALIDATION_SUMMARY_round4.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"PAPER_FIGURE_SHORTLIST_final_round.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"PAPER_FIGURE_SHORTLIST_round5.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"README_delivery_round5.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"README_final_repair_round.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"README_final_round.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"README_full_rebuild_round.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"README_mb_vgeom_h1000.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"VALIDATION_CLOSURE_round5.md","doc","mb_project_doc","legacy","keep","MB-related project note or delivery readme; root README should later point new MB work to docs/mb_v2."
"outputs/milestones/MB","output","mb_output_root","archive","index-only","Mixed legacy root with tracked and untracked MB artifacts; treat as frozen historical source, not a future canonical write target."
"outputs/milestones/MB_20260323_final_repair_fullnight","output","mb_output_root","archive","index-only","Historical MB output root retained in place for provenance; classify via refactor indexes."
"outputs/milestones/MB_vgeom_h1000_coarse_20260324","output","mb_output_root","archive","index-only","Historical MB output root retained in place for provenance; classify via refactor indexes."
"outputs/milestones/MB_vgeom_h1000_debugmini","output","mb_output_root","archive","index-only","Historical MB output root retained in place for provenance; classify via refactor indexes."
"outputs/milestones/MB_vgeom_plotprobe","output","mb_output_root","archive","index-only","Historical MB output root retained in place for provenance; classify via refactor indexes."
"outputs/milestones/MB_vgeom_plotprobe2","output","mb_output_root","archive","index-only","Historical MB output root retained in place for provenance; classify via refactor indexes."
"outputs/milestones/MB_20260323_final_repair_strict","output","mb_output_root","canonical","index-only","Strict reference output root; candidate canonical reference for Stage05/06 replication checks."
"outputs/milestones/MB_20260323_fullrebuild_baseline","output","mb_output_root","canonical","index-only","Fresh-root or rebuild lineage output with higher archival value; likely canonical reference candidate."
"outputs/milestones/MB_20260323_fullrebuild_delivery","output","mb_output_root","canonical","index-only","Curated delivery-style bundle; candidate source for recommended references after indexing."
"outputs/milestones/MB_20260323_fullrebuild_strict","output","mb_output_root","canonical","index-only","Strict reference output root; candidate canonical reference for Stage05/06 replication checks."
"outputs/milestones/MB_20260323_globalfulldense_baseline","output","mb_output_root","canonical","index-only","Fresh-root or rebuild lineage output with higher archival value; likely canonical reference candidate."
"outputs/milestones/MB_20260323_globalfulldense_delivery","output","mb_output_root","canonical","index-only","Curated delivery-style bundle; candidate source for recommended references after indexing."
"outputs/milestones/MB_20260323_globalfulldense_strict","output","mb_output_root","canonical","index-only","Strict reference output root; candidate canonical reference for Stage05/06 replication checks."
"outputs/milestones/MB_20260324_globalfullreplay_baseline","output","mb_output_root","canonical","index-only","Fresh-root or rebuild lineage output with higher archival value; likely canonical reference candidate."
"outputs/milestones/MB_20260324_globalfullreplay_delivery","output","mb_output_root","canonical","index-only","Curated delivery-style bundle; candidate source for recommended references after indexing."
"outputs/milestones/MB_20260324_globalfullreplay_strict","output","mb_output_root","canonical","index-only","Strict reference output root; candidate canonical reference for Stage05/06 replication checks."
"outputs/milestones/MB_final_repair_round_delivery","output","mb_output_root","canonical","index-only","Curated delivery-style bundle; candidate source for recommended references after indexing."
"outputs/milestones/MB_plotmode_smoke_strict_20260323b","output","mb_output_root","canonical","index-only","Strict reference output root; candidate canonical reference for Stage05/06 replication checks."
"outputs/milestones/MB_plotmode_smoke_effectivefullrange_20260323","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_plotmode_smoke_effectivefullrange_20260323b","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_plotmode_smoke_frontierzoom_20260323b","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_plotmode_smoke_historyfull_20260323b","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_plotmode_smoke_validation_20260323","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_plotmode_smoke_validation_20260323b","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_task1_smoke","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_task2_audit","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_task3_compare_smoke","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_task3_passratio_smoke","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_task3_passratio_smoke2","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_task5_overcompute_smoke","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_task6_compare_smoke","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_task6_compare_smoke2","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_vgeom_h1000_smoke","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_vgeom_h1000_smoke_closed","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_vgeom_h1000_smoke_closed2","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_vgeom_h1000_smoke_dual_debug","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_vgeom_h1000_smoke_dual_debug2","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_vgeom_h1000_smoke_legacy","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_vgeom_h1000_smoke_legacy_debug","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/MB_vgeom_h1000_smoke_legacy_debug2","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
